symbol,date,close,ccy,source
SMPL,2024-12-02,99.72,USD,synthetic
SMPL,2024-12-03,100.36,USD,synthetic
SMPL,2024-12-04,100.12,USD,synthetic
SMPL,2024-12-05,99.77,USD,synthetic
SMPL,2024-12-06,98.69,USD,synthetic
SMPL,2024-12-09,98.47,USD,synthetic
SMPL,2024-12-10,99.81,USD,synthetic
SMPL,2024-12-11,100.35,USD,synthetic
SMPL,2024-12-12,101.63,USD,synthetic
SMPL,2024-12-13,101.96,USD,synthetic
SMPL,2024-12-16,102.48,USD,synthetic
SMPL,2024-12-17,102.73,USD,synthetic
SMPL,2024-12-18,100.71,USD,synthetic
SMPL,2024-12-19,101.77,USD,synthetic
SMPL,2024-12-20,102.42,USD,synthetic
SMPL,2024-12-23,103.07,USD,synthetic
SMPL,2024-12-24,101.01,USD,synthetic
SMPL,2024-12-25,98.92,USD,synthetic
SMPL,2024-12-26,97.9,USD,synthetic
SMPL,2024-12-27,97.38,USD,synthetic
SMPL,2024-12-30,97.76,USD,synthetic
SMPL,2024-12-31,97.74,USD,synthetic
SMPL,2025-01-01,98.38,USD,synthetic
SMPL,2025-01-02,97.65,USD,synthetic
SMPL,2025-01-03,98.04,USD,synthetic
SMPL,2025-01-06,98.53,USD,synthetic
SMPL,2025-01-07,97.78,USD,synthetic
SMPL,2025-01-08,99.83,USD,synthetic
SMPL,2025-01-09,100.52,USD,synthetic
SMPL,2025-01-10,102.0,USD,synthetic
SMPL,2025-01-13,101.27,USD,synthetic
SMPL,2025-01-14,100.4,USD,synthetic
SMPL,2025-01-15,100.02,USD,synthetic
SMPL,2025-01-16,99.92,USD,synthetic
SMPL,2025-01-17,100.71,USD,synthetic
SMPL,2025-01-20,101.04,USD,synthetic
SMPL,2025-01-21,100.52,USD,synthetic
SMPL,2025-01-22,99.4,USD,synthetic
SMPL,2025-01-23,98.81,USD,synthetic
SMPL,2025-01-24,100.29,USD,synthetic
SMPL,2025-01-27,99.34,USD,synthetic
SMPL,2025-01-28,99.67,USD,synthetic
SMPL,2025-01-29,100.21,USD,synthetic
SMPL,2025-01-30,98.44,USD,synthetic
SMPL,2025-01-31,98.53,USD,synthetic
SMPL,2025-02-03,100.1,USD,synthetic
SMPL,2025-02-04,97.72,USD,synthetic
SMPL,2025-02-05,97.37,USD,synthetic
SMPL,2025-02-06,97.27,USD,synthetic
SMPL,2025-02-07,96.35,USD,synthetic
SMPL,2025-02-10,96.95,USD,synthetic
SMPL,2025-02-11,96.91,USD,synthetic
SMPL,2025-02-12,95.23,USD,synthetic
SMPL,2025-02-13,96.21,USD,synthetic
SMPL,2025-02-14,97.01,USD,synthetic
SMPL,2025-02-17,98.14,USD,synthetic
SMPL,2025-02-18,99.87,USD,synthetic
SMPL,2025-02-19,100.33,USD,synthetic
SMPL,2025-02-20,100.5,USD,synthetic
SMPL,2025-02-21,98.97,USD,synthetic
SMPL,2025-02-24,99.73,USD,synthetic
SMPL,2025-02-25,99.03,USD,synthetic
SMPL,2025-02-26,98.52,USD,synthetic
SMPL,2025-02-27,97.05,USD,synthetic
SMPL,2025-02-28,95.95,USD,synthetic
SMPL,2025-03-03,95.37,USD,synthetic
SMPL,2025-03-04,96.88,USD,synthetic
SMPL,2025-03-05,94.54,USD,synthetic
SMPL,2025-03-06,92.92,USD,synthetic
SMPL,2025-03-07,93.21,USD,synthetic
SMPL,2025-03-10,94.85,USD,synthetic
SMPL,2025-03-11,95.54,USD,synthetic
SMPL,2025-03-12,93.39,USD,synthetic
SMPL,2025-03-13,90.6,USD,synthetic
SMPL,2025-03-14,91.01,USD,synthetic
SMPL,2025-03-17,90.24,USD,synthetic
SMPL,2025-03-18,89.05,USD,synthetic
SMPL,2025-03-19,90.12,USD,synthetic
SMPL,2025-03-20,91.34,USD,synthetic
SMPL,2025-03-21,91.54,USD,synthetic
SMPL,2025-03-24,91.84,USD,synthetic
SMPL,2025-03-25,92.34,USD,synthetic
SMPL,2025-03-26,94.14,USD,synthetic
SMPL,2025-03-27,94.87,USD,synthetic
SMPL,2025-03-28,95.48,USD,synthetic
SMPL,2025-03-31,96.14,USD,synthetic
SMPL,2025-04-01,94.36,USD,synthetic
SMPL,2025-04-02,95.84,USD,synthetic
SMPL,2025-04-03,96.97,USD,synthetic
SMPL,2025-04-04,97.61,USD,synthetic
SMPL,2025-04-07,95.33,USD,synthetic
SMPL,2025-04-08,94.63,USD,synthetic
SMPL,2025-04-09,95.62,USD,synthetic
SMPL,2025-04-10,93.57,USD,synthetic
SMPL,2025-04-11,93.39,USD,synthetic
SMPL,2025-04-14,94.56,USD,synthetic
SMPL,2025-04-15,93.1,USD,synthetic
SMPL,2025-04-16,94.93,USD,synthetic
SMPL,2025-04-17,95.58,USD,synthetic
SMPL,2025-04-18,95.44,USD,synthetic
SMPL,2025-04-21,95.84,USD,synthetic
SMPL,2025-04-22,96.62,USD,synthetic
SMPL,2025-04-23,96.79,USD,synthetic
SMPL,2025-04-24,98.15,USD,synthetic
SMPL,2025-04-25,97.4,USD,synthetic
SMPL,2025-04-28,96.94,USD,synthetic
SMPL,2025-04-29,98.18,USD,synthetic
SMPL,2025-04-30,98.24,USD,synthetic
SMPL,2025-05-01,97.23,USD,synthetic
SMPL,2025-05-02,98.37,USD,synthetic
SMPL,2025-05-05,100.13,USD,synthetic
SMPL,2025-05-06,99.62,USD,synthetic
SMPL,2025-05-07,98.0,USD,synthetic
SMPL,2025-05-08,97.87,USD,synthetic
SMPL,2025-05-09,97.73,USD,synthetic
SMPL,2025-05-12,97.41,USD,synthetic
SMPL,2025-05-13,99.08,USD,synthetic
SMPL,2025-05-14,97.89,USD,synthetic
SMPL,2025-05-15,99.4,USD,synthetic
SMPL,2025-05-16,97.92,USD,synthetic
SMPL,2025-05-19,97.02,USD,synthetic
SMPL,2025-05-20,97.78,USD,synthetic
SMPL,2025-05-21,99.14,USD,synthetic
SMPL,2025-05-22,100.19,USD,synthetic
SMPL,2025-05-23,100.64,USD,synthetic
SMPL,2025-05-26,100.84,USD,synthetic
SMPL,2025-05-27,101.05,USD,synthetic
SMPL,2025-05-28,101.78,USD,synthetic
SMPL,2025-05-29,101.6,USD,synthetic
SMPL,2025-05-30,101.96,USD,synthetic
SMPL,2025-06-02,102.7,USD,synthetic
SMPL,2025-06-03,102.73,USD,synthetic
SMPL,2025-06-04,103.7,USD,synthetic
SMPL,2025-06-05,104.43,USD,synthetic
SMPL,2025-06-06,106.99,USD,synthetic
SMPL,2025-06-09,107.44,USD,synthetic
SMPL,2025-06-10,106.92,USD,synthetic
SMPL,2025-06-11,106.47,USD,synthetic
SMPL,2025-06-12,106.49,USD,synthetic
SMPL,2025-06-13,107.7,USD,synthetic
SMPL,2025-06-16,107.3,USD,synthetic
SMPL,2025-06-17,107.82,USD,synthetic
SMPL,2025-06-18,110.23,USD,synthetic
SMPL,2025-06-19,106.87,USD,synthetic
SMPL,2025-06-20,105.46,USD,synthetic
SMPL,2025-06-23,105.81,USD,synthetic
SMPL,2025-06-24,106.34,USD,synthetic
SMPL,2025-06-25,106.68,USD,synthetic
SMPL,2025-06-26,106.16,USD,synthetic
SMPL,2025-06-27,107.03,USD,synthetic
SMPL,2025-06-30,107.42,USD,synthetic
SMPL,2025-07-01,106.78,USD,synthetic
SMPL,2025-07-02,109.93,USD,synthetic
SMPL,2025-07-03,110.43,USD,synthetic
SMPL,2025-07-04,109.73,USD,synthetic
SMPL,2025-07-07,109.63,USD,synthetic
SMPL,2025-07-08,109.36,USD,synthetic
ACME,2024-12-02,39.96,USD,synthetic
ACME,2024-12-03,37.79,USD,synthetic
ACME,2024-12-04,37.44,USD,synthetic
ACME,2024-12-05,38.2,USD,synthetic
ACME,2024-12-06,37.32,USD,synthetic
ACME,2024-12-09,37.28,USD,synthetic
ACME,2024-12-10,38.01,USD,synthetic
ACME,2024-12-11,38.67,USD,synthetic
ACME,2024-12-12,39.83,USD,synthetic
ACME,2024-12-13,38.49,USD,synthetic
ACME,2024-12-16,38.23,USD,synthetic
ACME,2024-12-17,37.98,USD,synthetic
ACME,2024-12-18,38.46,USD,synthetic
ACME,2024-12-19,39.32,USD,synthetic
ACME,2024-12-20,37.22,USD,synthetic
ACME,2024-12-23,38.04,USD,synthetic
ACME,2024-12-24,36.95,USD,synthetic
ACME,2024-12-25,37.47,USD,synthetic
ACME,2024-12-26,36.36,USD,synthetic
ACME,2024-12-27,36.5,USD,synthetic
ACME,2024-12-30,37.38,USD,synthetic
ACME,2024-12-31,37.28,USD,synthetic
